source,user_id,class,scenario_id,title_zh,tte_h,tte_p05_h,tte_p50_h,tte_p95_h
user_behavior_daily,1.0,4.0,,,51.282051282051285,,,
user_behavior_daily,2.0,3.0,,,72.12622088655147,,,
user_behavior_daily,3.0,2.0,,,126.149802890933,,,
user_behavior_daily,4.0,3.0,,,57.27923627684964,,,
user_behavior_daily,5.0,3.0,,,70.22677395757133,,,
user_behavior_daily,6.0,2.0,,,102.12765957446808,,,
user_behavior_daily,7.0,4.0,,,53.27413984461709,,,
user_behavior_daily,8.0,5.0,,,32.47631935047361,,,
user_behavior_daily,9.0,4.0,,,44.90177736202058,,,
user_behavior_daily,10.0,4.0,,,49.054675523760864,,,
user_behavior_daily,11.0,1.0,,,220.68965517241375,,,
user_behavior_daily,12.0,3.0,,,56.80473372781066,,,
user_behavior_daily,13.0,4.0,,,41.68475900998697,,,
user_behavior_daily,14.0,3.0,,,57.76173285198556,,,
user_behavior_daily,15.0,3.0,,,54.732041049030784,,,
user_behavior_daily,16.0,5.0,,,37.33955659276546,,,
user_behavior_daily,17.0,2.0,,,152.86624203821657,,,
user_behavior_daily,18.0,3.0,,,67.08595387840671,,,
user_behavior_daily,19.0,1.0,,,172.0430107526882,,,
user_behavior_daily,20.0,5.0,,,34.60706560922855,,,
user_behavior_daily,21.0,2.0,,,140.96916299559473,,,
user_behavior_daily,22.0,5.0,,,34.24901890831252,,,
user_behavior_daily,23.0,4.0,,,45.845272206303726,,,
user_behavior_daily,24.0,3.0,,,68.52248394004283,,,
user_behavior_daily,25.0,3.0,,,56.10753945061368,,,
user_behavior_daily,26.0,2.0,,,89.46877912395155,,,
user_behavior_daily,27.0,4.0,,,40.472175379426645,,,
user_behavior_daily,28.0,5.0,,,39.85056039850561,,,
user_behavior_daily,29.0,4.0,,,40.217846669459576,,,
user_behavior_daily,30.0,4.0,,,50.55292259083728,,,
user_behavior_daily,31.0,3.0,,,70.53637031594417,,,
user_behavior_daily,32.0,3.0,,,57.83132530120483,,,
user_behavior_daily,33.0,3.0,,,64.6900269541779,,,
user_behavior_daily,34.0,1.0,,,210.0656455142232,,,
user_behavior_daily,35.0,5.0,,,38.41536614645858,,,
user_behavior_daily,36.0,1.0,,,165.51724137931035,,,
user_behavior_daily,37.0,2.0,,,127.15231788079473,,,
user_behavior_daily,38.0,5.0,,,34.18803418803419,,,
user_behavior_daily,39.0,4.0,,,41.52249134948097,,,
user_behavior_daily,40.0,4.0,,,51.86385737439222,,,
user_behavior_daily,41.0,3.0,,,65.57377049180327,,,
user_behavior_daily,42.0,5.0,,,39.231712300776465,,,
user_behavior_daily,43.0,2.0,,,133.33333333333331,,,
user_behavior_daily,44.0,2.0,,,96.67673716012084,,,
user_behavior_daily,45.0,2.0,,,114.69534050179212,,,
user_behavior_daily,46.0,5.0,,,38.77221324717286,,,
user_behavior_daily,47.0,5.0,,,39.231712300776465,,,
user_behavior_daily,48.0,2.0,,,107.98650168728908,,,
user_behavior_daily,49.0,5.0,,,36.59931376286695,,,
user_behavior_daily,50.0,5.0,,,35.08771929824562,,,
user_behavior_daily,51.0,4.0,,,44.03669724770643,,,
user_behavior_daily,52.0,3.0,,,77.23250201126308,,,
user_behavior_daily,53.0,2.0,,,139.1304347826087,,,
user_behavior_daily,54.0,2.0,,,87.19346049046321,,,
user_behavior_daily,55.0,5.0,,,33.6016800840042,,,
user_behavior_daily,56.0,1.0,,,213.33333333333337,,,
user_behavior_daily,57.0,1.0,,,167.83216783216784,,,
user_behavior_daily,58.0,5.0,,,34.33476394849785,,,
user_behavior_daily,59.0,4.0,,,41.63052905464007,,,
user_behavior_daily,60.0,4.0,,,42.309387395328336,,,
user_behavior_daily,61.0,5.0,,,34.310221586847746,,,
user_behavior_daily,62.0,4.0,,,41.8848167539267,,,
user_behavior_daily,63.0,1.0,,,194.7261663286004,,,
user_behavior_daily,64.0,5.0,,,32.97835795259361,,,
user_behavior_daily,65.0,4.0,,,48.435923309788095,,,
user_behavior_daily,66.0,3.0,,,67.6056338028169,,,
user_behavior_daily,67.0,3.0,,,56.30498533724341,,,
user_behavior_daily,68.0,2.0,,,124.1914618369987,,,
user_behavior_daily,69.0,5.0,,,32.74215552523874,,,
user_behavior_daily,70.0,1.0,,,172.0430107526882,,,
user_behavior_daily,71.0,4.0,,,53.09734513274336,,,
user_behavior_daily,72.0,5.0,,,33.08063404548587,,,
user_behavior_daily,73.0,4.0,,,40.90328078397955,,,
user_behavior_daily,74.0,1.0,,,164.1025641025641,,,
user_behavior_daily,75.0,1.0,,,201.6806722689076,,,
user_behavior_daily,76.0,3.0,,,73.5632183908046,,,
user_behavior_daily,77.0,1.0,,,172.0430107526882,,,
user_behavior_daily,78.0,2.0,,,141.5929203539823,,,
user_behavior_daily,79.0,1.0,,,288.2882882882883,,,
user_behavior_daily,80.0,3.0,,,76.55502392344498,,,
user_behavior_daily,81.0,5.0,,,38.78787878787879,,,
user_behavior_daily,82.0,2.0,,,92.7536231884058,,,
user_behavior_daily,83.0,4.0,,,40.62632247143462,,,
user_behavior_daily,84.0,1.0,,,260.8695652173913,,,
user_behavior_daily,85.0,3.0,,,73.22654462242562,,,
user_behavior_daily,86.0,4.0,,,46.13166746756367,,,
user_behavior_daily,87.0,2.0,,,95.71286141575274,,,
user_behavior_daily,88.0,1.0,,,278.2608695652174,,,
user_behavior_daily,89.0,2.0,,,114.42193087008344,,,
user_behavior_daily,90.0,4.0,,,46.760837798343886,,,
user_behavior_daily,91.0,2.0,,,105.26315789473684,,,
user_behavior_daily,92.0,3.0,,,65.12890094979647,,,
user_behavior_daily,93.0,1.0,,,191.61676646706587,,,
user_behavior_daily,94.0,2.0,,,85.33333333333333,,,
user_behavior_daily,95.0,4.0,,,44.26002766251729,,,
user_behavior_daily,96.0,4.0,,,42.79982166740972,,,
user_behavior_daily,97.0,5.0,,,32.92181069958848,,,
user_behavior_daily,98.0,5.0,,,39.900249376558605,,,
user_behavior_daily,99.0,1.0,,,265.9279778393352,,,
user_behavior_daily,100.0,3.0,,,62.90956749672347,,,
